,link
197,https://www.aftonbladet.se/nyheter/a/e86gKK/sankt-straff-for-dodlig-knivattack-i-nordstan
198,https://www.aftonbladet.se/nyheter/a/J1mmo6/skelett-hittat-i-husvagn--mordutredning-inledd
199,https://www.aftonbladet.se/nyheter/a/x44yOj/misstankt-mordforsok-i-goteborg
200,https://www.aftonbladet.se/nyheter/a/x3x8ER/17-aring-begars-haktad-efter-dodsskjutning-av-polis
201,https://www.aftonbladet.se/nyheter/a/y3lzzK/emma-33-levde-med-radslan-att-pojkvannen-skulle-doda-henne
202,https://www.aftonbladet.se/nyheter/a/66P88O/man-gripen-for-mordforsok-vid-bensinmack
203,https://live.aftonbladet.se/supernytt/news/60e9d73880bba4001115c248
204,https://www.aftonbladet.se/nyheter/a/JPxL6/misstankt-mord-i-goteborg--kropp-hittad-i-dike
205,https://www.aftonbladet.se/nyheter/a/eKb7VR/18-ars-fangelse-for-slumpartat-knivmord
206,https://www.aftonbladet.se/nyheter/a/kRgdeA/ung-kvinna-frias-fran-medhjalp-till-knivmord
207,https://live.aftonbladet.se/supernytt/news/5fc0deeb6dddf500110db5e1
208,https://www.aftonbladet.se/nyheter/a/PovVxz/man-hittad-dod-i-lagenhet-i-goteborg
209,https://live.aftonbladet.se/supernytt/news/60a4cee771085d00137b4158
210,https://www.aftonbladet.se/nyheter/a/xPyrOQ/vittne-ali-rezas-misstankta-mordare-hade-kroppsdelar-i-frysen
211,https://www.aftonbladet.se/nyheter/a/yRaR8J/ung-man-dod-pa-arbetsplats--mord-misstanks
212,https://www.aftonbladet.se/nyheter/a/VqQg21/14-ars-fangelse-for-mord-pa-hisingen
213,https://www.aftonbladet.se/nyheter/a/lEkOWo/atalad-efter-gangmord-hanvisar-till-hotbild
214,https://www.aftonbladet.se/nyheter/a/Ga12lq/gangledare-far-sankt-straff-i-hd
215,https://www.aftonbladet.se/nyheter/a/EpdvV2/kvinna-hittad-dod-i-bostad--mord-misstanks
216,https://www.aftonbladet.se/nyheter/a/Xw7jBn/fem-atalas-for-inblandning-i-mord
217,https://tv.aftonbladet.se/video/329325
218,https://www.aftonbladet.se/senastenytt/a/wendB5/man-dod-efter-brand-i-lagenhet
219,https://live.aftonbladet.se/supernytt/news/61022182096c8f0011c943a8
220,https://www.aftonbladet.se/nyheter/a/eKrKb9/tredje-man-anhallen-for-goteborgsmord
221,https://www.aftonbladet.se/nyheter/a/zgalyb/tva-man-haktade-for-mord-pa-kvinna
222,https://live.aftonbladet.se/supernytt/news/60d771eb35e3920011b0e2d7
223,https://live.aftonbladet.se/supernytt/news/6075db59849d53001939b24c
224,https://www.aftonbladet.se/nyheter/a/6jbOVL/55-aring-haktad--misstanks-for-mord
225,https://www.aftonbladet.se/nyheter/a/mRXkXL/man-begars-haktad-for-drap-i-goteborg
226,https://www.aftonbladet.se/nyheter/a/JJPby6/man-knivskuren-vid-badsjo-i-goteborg
227,https://live.aftonbladet.se/supernytt/news/60e1fc9d94219000118bfe99
228,https://www.aftonbladet.se/nyheter/a/x34ROn/man-och-kvinna-haktade-for-slumpmassigt-mord
229,https://live.aftonbladet.se/supernytt/news/60c91c747b32d200121d93ca
230,https://tv.aftonbladet.se/video/275126
231,https://live.aftonbladet.se/supernytt/news/60a7b9943094100011e396b7
232,https://www.aftonbladet.se/nyheter/a/dlqkRJ/man-dod-pa-boende-pa-hisingen
233,https://www.aftonbladet.se/nyheter/a/0KWpWE/mordatalade-gangmedlemmar-ville-doda-fler
234,https://www.aftonbladet.se/nyheter/a/EabXoA/16-ars-fangelse-for-mord-pa-korttidsboende
235,https://www.aftonbladet.se/nyheter/a/EWOOLG/hogg-kvinna-med-13-hugg--doms-till-fangelse
236,https://www.aftonbladet.se/nyheter/a/P9x2rp/misstankt-mord-i-molndal--en-man-anhallen
237,https://live.aftonbladet.se/supernytt/news/605a6a2777b71c001845a5a3
238,https://www.aftonbladet.se/nyheter/a/kaAzJ6/mordaren-isolerad-efter-hot-ska-sla-sonder-ditt-ansikte
239,https://www.aftonbladet.se/nyheter/a/1Bkewl/tva-anhallna-efter-mord-i-mars
240,https://www.aftonbladet.se/nyheter/a/gWLAJB/sex-haktade-for-misstankta-mordplaner
241,https://www.aftonbladet.se/nyheter/a/JJ1Agm/16-aring-haktad-misstankt-for-mord-pa-jamnarig
242,https://live.aftonbladet.se/supernytt/news/5eafd16794b04800189ffb44
243,https://www.aftonbladet.se/nyheter/a/390rOP/mordforsok-i-goteborg--tva-gripna
244,https://www.aftonbladet.se/nyheter/a/PR5V1z/tva-skjutna-i-goteborg--fyra-gripna
245,https://www.aftonbladet.se/senastenytt/a/VqvwXV/kvinna-medvetslos-i-goteborg--man-gripen
246,https://live.aftonbladet.se/supernytt/news/5ed6541f0639ca001808e1b8
247,https://live.aftonbladet.se/supernytt/news/5fd3b5768d5756001101db13
248,https://live.aftonbladet.se/supernytt/news/60b8925e0533a9001238b2f2
249,https://www.aftonbladet.se/nyheter/a/eKOGRl/avgorande-bevisningen-som-garningsmannen-glomde--missade-brottsbil
250,https://www.aftonbladet.se/nyheter/a/pLv6Rj/en-atalad-for-knivmord-i-goteborg
251,https://live.aftonbladet.se/supernytt/news/611a3572ea9f230018feea1a
252,https://www.aftonbladet.se/nyheter/a/zgajn9/tva-skots-ihjal-i-stockholm-senaste-dygnet
253,https://www.aftonbladet.se/nyheter/a/X8WKJx/misstankt-mordforsok-pa-buss
254,https://www.aftonbladet.se/nyheter/a/0KdkOA/mord-pa-korttidsboende--regler-kan-ses-over
255,https://www.aftonbladet.se/nyheter/a/kRveWa/man-doms-for-hustrumord-med-klubba
256,https://live.aftonbladet.se/supernytt/news/611760f2ea9f230018b5be80
257,https://www.aftonbladet.se/nyheter/a/rgm2OR/ytterligare-en-haktad-for-mord-pa-16-aring
258,https://www.aftonbladet.se/nyheter/a/jzpV70/detta-ar-gisslantagarna--domda-for-mord
259,https://www.aftonbladet.se/nyheter/a/lERQJe/slagsmal-med-jarnror--en-allvarligt-skadad
260,https://www.aftonbladet.se/nyheter/a/47bjGV/man-i-60-arsaldern-i-mariestad-slapps
261,https://www.aftonbladet.se/nyheter/a/7KBqQ9/bombmakare-doms-till-14-ars-fangelse
262,https://www.aftonbladet.se/nyheter/a/aPvVA7/tva-personer-skjutna-i-goteborg
263,https://www.aftonbladet.se/nyheter/a/kRl9Rv/bombhot-mot-tingsratten-i-goteborg
264,https://www.aftonbladet.se/nyheter/kolumnister/a/R9K6RJ/encrochat-bevisen-kan-vara-olagliga
265,https://live.aftonbladet.se/supernytt/news/60a35bd84d981c00118c919d
266,https://www.aftonbladet.se/nyheter/a/qAL1ww/man-dod-efter-knivskarning-i-goteborg
267,https://www.aftonbladet.se/nyheter/a/e8oG4O/en-anhallen-for-kvinnomord-i-goteborg
268,https://www.aftonbladet.se/nyheter/a/bnk73B/mordforsok-i-alingsas--man-gripen
269,https://www.aftonbladet.se/nyheter/a/0K9q06/man-dod-efter-brak-i-bostad
270,https://www.aftonbladet.se/nyheter/a/7KXjpK/misstankt-mordforsok-i-varberg
271,https://live.aftonbladet.se/supernytt/news/60c75b067b32d200121d8f23
272,https://live.aftonbladet.se/supernytt/news/6118ad42ea9f230018d6ba60
273,https://www.aftonbladet.se/nyheter/a/GGkdxJ/tva-man-atalas-for-knivmord
274,https://www.aftonbladet.se/nyheter/a/eKOdLQ/omstridd-bevisning-far-anvandas-i-mordatal
275,https://www.aftonbladet.se/nyheter/a/4q6ERo/atalad-for-majornamord-psykiskt-stord
276,https://live.aftonbladet.se/supernytt/news/6070a270849d53001938db42
277,https://live.aftonbladet.se/supernytt/news/5f46c99d0522fc0011497e89
278,https://www.aftonbladet.se/nyheter/a/na3yWL/atalad-for-mord-i-majorna-ska-psykutredas
279,https://tv.aftonbladet.se/video/313404
280,https://live.aftonbladet.se/supernytt/news/5eb86724f06f250011f66cfa
281,https://www.aftonbladet.se/nyheter/a/0KPdeM/livstid-yrkas-for-fem-efter-gangmord
282,https://www.aftonbladet.se/nyheter/a/6zpoKL/elva-man-atalas-for-storbraket-i-hjallbo
283,https://www.aftonbladet.se/nyheter/a/eK9g1K/tre-man-haktade-for-upplopp-i-hjallbo
284,https://live.aftonbladet.se/supernytt/news/5e629e15f4620e0011d79668
285,https://live.aftonbladet.se/supernytt/news/5eac18967108bf0018d24790
286,https://www.aftonbladet.se/nyheter/a/lEE763/man-hittad-dod-i-goteborg
287,https://live.aftonbladet.se/supernytt/news/5fa22f8bb218050011f61604
288,https://live.aftonbladet.se/supernytt/news/609e55044d981c00118c8741
289,https://www.aftonbladet.se/nyheter/a/6zlEWo/man-skottskadad-i-goteborg
290,https://www.aftonbladet.se/nyheter/a/3JrzjX/bevistalan-vacks-mot-pojke-misstankt-for-mord
291,https://live.aftonbladet.se/supernytt/news/60c3210b2d374a0012dd3cf3
292,https://www.aftonbladet.se/nyheter/a/2dG3JG/en-anhallen-efter-skott-i-biskopsgarden
293,https://www.aftonbladet.se/nyheter/a/zgMxWO/man-i-30-arsaldern-knivskuren
294,https://www.aftonbladet.se/nyheter/a/we1yxd/vavnad-pa-skelettfynd-kan-ge-ledtradar
295,https://www.aftonbladet.se/nyheter/a/mROjnE/knivdodade-man--doms-till-sex-ars-fangelse
296,https://www.aftonbladet.se/nyheter/a/qAj5bO/fjarde-person-begars-haktad-efter-upploppet
297,https://www.aftonbladet.se/senastenytt/a/7Kq1jW/person-hittad-dod-i-biskopsgarden
298,https://www.aftonbladet.se/nyheter/a/JJJj8P/tva-till-sjukhus-efter-misstankt-explosion-i-goteborg
299,https://www.aftonbladet.se/senastenytt/a/wen2p4/ytterligare-en-haktad-efter-mord-pa-16-aring
